Sample	10A7G	11C0	12C3	13C7	140G	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	240C	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
1R0	0.8490170776779458	0.6123065387109646	0.7343468643177016	0.8152027381835776	0.7909885485242474	0.7904490332191557	0.8479418112489446	0.6052818349214301	0.5405043849191016	0.6719945361708356	0.0	0.6253428914018959	0.565642644855571	0.5997377079092465	0.6650540885574142	0.6509148725841671	0.7432626108387581	0.7553993592115835	0.60425048478248	0.6259131395740988	0.6502643038856869	0.49364802312268524	0.5952085618564152	0.6181166539028675	0.7179668092363636	0.7620983857234703
20R10	0.8961398338099591	0.7348734328754861	0.8253300085759837	0.8471426592342816	0.8559778376093101	0.7969851275633905	0.89964516546949	0.8066587040907733	0.6991933430773148	0.6573971149408465	0.6253428914018959	0.0	0.5977106156780807	0.5162473644437293	0.7317582835238119	0.714533327396356	0.8311382670019636	0.8195534398143286	0.5637147389671333	0.6336949597871558	0.16891303114832737	0.5718851559090822	0.5346809315646973	0.7039017519372585	0.805396396799384	0.7867262715201793
21A0	0.9163964650263586	0.7481017757308475	0.8427201647312302	0.8826916570953451	0.8615593706020129	0.8566035313394146	0.9237531239118882	0.7858127831327599	0.7322568339849599	0.7599605215045212	0.565642644855571	0.5977106156780807	0.0	0.5700816983345317	0.6485413588726595	0.735476884639982	0.8527470313269411	0.8420487299960845	0.5014164378269318	0.7389204534241653	0.5963795258032676	0.38257109265997685	0.5070372117349393	0.6488787641815482	0.8320474337940407	0.8404342709975356
22A6	0.8801356433508857	0.7341306456869092	0.8629182585190587	0.8409329080598277	0.8803172815073739	0.8155256731939969	0.8870104044703475	0.804039373537849	0.7489356884898466	0.6501794269319189	0.5997377079092465	0.5162473644437293	0.5700816983345317	0.0	0.6809773862962646	0.7384958701155496	0.8665203366713511	0.8048730079168352	0.5907218904614285	0.6245792742813152	0.546018835834813	0.5431792349040335	0.27506877271289704	0.6572934448392193	0.8139880932459224	0.7916734920007085
23A15	0.9091465857377129	0.7838492275071642	0.8717507004366553	0.890139570166262	0.8592943771280989	0.8241753664117729	0.9138434239941281	0.8208058469472287	0.7768473134643535	0.7695429206187083	0.6650540885574142	0.7317582835238119	0.6485413588726595	0.6809773862962646	0.0	0.762804183408286	0.8381285461117927	0.8453892672429144	0.742639749663582	0.726605548880413	0.7284305143369558	0.6436432400166413	0.6580449739615051	0.3904352360389956	0.8342349607794396	0.8085921068445406
240C	0.8004316198222137	0.595396087053052	0.6441830358080071	0.755928703689513	0.7060267904974028	0.6932278346121059	0.8029169589013063	0.5769019846739143	0.6147749757360949	0.533631993357986	0.6509148725841671	0.714533327396356	0.735476884639982	0.7384958701155496	0.762804183408286	0.0	0.7168868202825396	0.6897489493604041	0.7419197458451261	0.5497707262299357	0.7383298569938712	0.7194589122615596	0.7441199779748109	0.7254457357752244	0.6488117564149324	0.6820545183499069
253C	0.8314201526080052	0.7147813610799728	0.4437989354323867	0.6429918634553139	0.6970596541571582	0.675895027261381	0.7893436296640551	0.5667974774133071	0.6623354010502266	0.7069609512199053	0.7432626108387581	0.8311382670019636	0.8527470313269411	0.8665203366713511	0.8381285461117927	0.7168868202825396	0.0	0.6471081293200782	0.8203566581047288	0.7474946959021225	0.8513111301241204	0.8232013747438583	0.8779314725372038	0.8045246551017621	0.6106715940925287	0.6633865854416611
267C	0.8343108416794953	0.7156043616825012	0.639264988543142	0.35610975048795956	0.7399243124465914	0.596681479710583	0.7858012332995086	0.6258745181309575	0.7271912854156085	0.7003691653705736	0.7553993592115835	0.8195534398143286	0.8420487299960845	0.8048730079168352	0.8453892672429144	0.6897489493604041	0.6471081293200782	0.0	0.8382772115676231	0.7323966498626947	0.8307703456502915	0.8118655306910849	0.824803179601014	0.8148351835070231	0.6088095504121148	0.5611352015832167
2R3	0.9040728663333611	0.7559663308170935	0.8305051531343492	0.8706281451933663	0.8517375894307158	0.8334297880296754	0.9047340958487222	0.7642331128454923	0.6904403025691722	0.7668876209073209	0.60425048478248	0.5637147389671333	0.5014164378269318	0.5907218904614285	0.742639749663582	0.7419197458451261	0.8203566581047288	0.8382772115676231	0.0	0.7087317681551694	0.5295170028903573	0.4986752255014878	0.5383269799358285	0.7030098599652359	0.8284190547773703	0.819351282017492
3R8	0.7887051690514449	0.6698931435779055	0.7568934662509987	0.7305929069965096	0.777542853237493	0.7147166507481696	0.7908326328003953	0.6949347765596924	0.6723531616702388	0.291237931130614	0.6259131395740988	0.6336949597871558	0.7389204534241653	0.6245792742813152	0.726605548880413	0.5497707262299357	0.7474946959021225	0.7323966498626947	0.7087317681551694	0.0	0.6334963827890688	0.6811407207643174	0.6428550413015713	0.6473370793788228	0.6787569265104051	0.6701476077747885
4R10	0.9046546012880479	0.7556967456975466	0.8586854140914709	0.859110366048511	0.8628910532135683	0.8099624897242801	0.9082118812291713	0.8226568616822655	0.7117246842207771	0.6773847438909714	0.6502643038856869	0.16891303114832737	0.5963795258032676	0.546018835834813	0.7284305143369558	0.7383298569938712	0.8513111301241204	0.8307703456502915	0.5295170028903573	0.6334963827890688	0.0	0.567827803037265	0.5431063753870234	0.693212647524526	0.8105512718798036	0.7914192671594328
5A0	0.9044084410019902	0.6904895647506715	0.8216096783085112	0.8589766712857528	0.8384221376829472	0.829271363933005	0.9107210155076264	0.74373866274276	0.670930360673522	0.7111429357013128	0.49364802312268524	0.5718851559090822	0.38257109265997685	0.5431792349040335	0.6436432400166413	0.7194589122615596	0.8232013747438583	0.8118655306910849	0.4986752255014878	0.6811407207643174	0.567827803037265	0.0	0.49302017410705923	0.6029168509643056	0.8013148828167855	0.8146864031085971
6A6	0.8816613233232912	0.7520346844189961	0.8721894474250883	0.8507376600336168	0.8822586549839685	0.8425911515106873	0.8880083565369862	0.810148805494944	0.7485536023611236	0.7024048077663917	0.5952085618564152	0.5346809315646973	0.5070372117349393	0.27506877271289704	0.6580449739615051	0.7441199779748109	0.8779314725372038	0.824803179601014	0.5383269799358285	0.6428550413015713	0.5431063753870234	0.49302017410705923	0.0	0.6302437553119766	0.8299111005745291	0.8140486322044421
7A15	0.8847725730440765	0.743064366356538	0.8505956496452773	0.8656496430330876	0.8420722957178791	0.7956320885074402	0.8905125471678176	0.7800414407554239	0.7534079358545723	0.6994971171334301	0.6181166539028675	0.7039017519372585	0.6488787641815482	0.6572934448392193	0.3904352360389956	0.7254457357752244	0.8045246551017621	0.8148351835070231	0.7030098599652359	0.6473370793788228	0.693212647524526	0.6029168509643056	0.6302437553119766	0.0	0.7956706750698342	0.7869311946535994
8A0G	0.8134750421912914	0.6950439358107507	0.6375362460206967	0.6069134242595561	0.6538185124888164	0.6986889082706391	0.7974879958463547	0.6295263665690388	0.7054317920535885	0.6700994093147864	0.7179668092363636	0.805396396799384	0.8320474337940407	0.8139880932459224	0.8342349607794396	0.6488117564149324	0.6106715940925287	0.6088095504121148	0.8284190547773703	0.6787569265104051	0.8105512718798036	0.8013148828167855	0.8299111005745291	0.7956706750698342	0.0	0.666197089527675
9A3G	0.7341579444491371	0.7174911569282175	0.7262402859709631	0.5995134811812081	0.7945577042074915	0.21953489511260277	0.7523355690260523	0.656332407542757	0.7387156408225737	0.6586566533897777	0.7620983857234703	0.7867262715201793	0.8404342709975356	0.7916734920007085	0.8085921068445406	0.6820545183499069	0.6633865854416611	0.5611352015832167	0.819351282017492	0.6701476077747885	0.7914192671594328	0.8146864031085971	0.8140486322044421	0.7869311946535994	0.666197089527675	0.0
