Sample	10A7G	11C0	12C3	13C7	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
20R10	0.7593556292291246	0.803863330100058	0.6822342884635559	0.6327140755203915	0.72839267941634	0.7505283739888264	0.7454049887558304	0.6685717149021387	0.6058835202701617	0.6709291926881413	0.0	0.6881305849807383	0.6631450514457173	0.8172957223387138	0.7038556839286715	0.6582734233991699	0.4491611558071961	0.5937709952376772	0.29907368179316485	0.730969593206065	0.6795687480521923	0.7125779054997662	0.788236303880582	0.733963430806446
21A0	0.6434603514327994	0.6942612006270474	0.5711662206503322	0.5833943934144993	0.6337484216380596	0.5817243603526124	0.6354866495378861	0.5903254687706665	0.6559968712279851	0.5962338063031052	0.6881305849807383	0.0	0.43470373373576293	0.7226516189721878	0.5951695691863823	0.532225710396617	0.6140475623294843	0.6344198143263685	0.6979896961430244	0.5564426774922165	0.5244135342982232	0.712764113886678	0.7034048616262722	0.6398698794060924
22A6	0.6181816988067791	0.6826088939246714	0.565896288708765	0.5972984651125361	0.6638278968415235	0.5657816363295997	0.6238083224719867	0.585265111615735	0.596008728377144	0.6224669121576203	0.6631450514457173	0.43470373373576293	0.0	0.7285953647252128	0.5803199781300542	0.5431629337438424	0.6007266058740852	0.5372956106127985	0.6738819854133149	0.5714602992129615	0.25947908120630186	0.6797870539545036	0.7503939830015474	0.6759889792726814
23A15	0.7990721710295754	0.6953679693887961	0.7760082011469044	0.7464635814952503	0.7927233069536543	0.768151222205667	0.8623272094942896	0.8372187697990106	0.8458968844628244	0.8221214281982168	0.8172957223387138	0.7226516189721878	0.7285953647252128	0.0	0.7507774075206011	0.7497089941708425	0.7576741335617493	0.8297380351970041	0.8423448476678576	0.8005495051540739	0.7578112124555313	0.5027320679766286	0.6397363227023073	0.7482196227970731
253C	0.5782693393113381	0.6878706993354565	0.1769953446574349	0.4158334595506388	0.6613304921486908	0.5557654842044565	0.6955381377580517	0.6780735911152654	0.6713529626610721	0.7147951876778726	0.7038556839286715	0.5951695691863823	0.5803199781300542	0.7507774075206011	0.0	0.3863870401570564	0.6448118767454477	0.6700766958201885	0.7349214122369891	0.6772737808503566	0.5816549558009259	0.7063569845192607	0.7148574929542949	0.6516419917125768
267C	0.5805070434427729	0.6604996343545846	0.39909861561573967	0.21276464351048072	0.6449345531125363	0.4943150365224694	0.6881376249946626	0.6518343551703508	0.6818312008063763	0.6863938576861164	0.6582734233991699	0.532225710396617	0.5431629337438424	0.7497089941708425	0.3863870401570564	0.0	0.626990937423458	0.6409885585304637	0.6921123810235247	0.6739284232796847	0.5785981366565031	0.70539722067726	0.7130433593723299	0.6209949902005436
2R3	0.7233574327076676	0.7030043298693122	0.6328526615006712	0.5976036855862371	0.66245000686124	0.7064152891586369	0.6675959077602677	0.5923391231541615	0.6090789077407843	0.6100221273552225	0.4491611558071961	0.6140475623294843	0.6007266058740852	0.7576741335617493	0.6448118767454477	0.626990937423458	0.0	0.6103575368408972	0.477355293200214	0.6490130134132194	0.6202017206057777	0.6770635063082853	0.7321589011028768	0.639540995094604
3R8	0.6794183805018804	0.7231337079858071	0.6281498105535969	0.6860013004596932	0.6630817290822812	0.6183278788629362	0.5503494244241618	0.5165406277398586	0.31284233958025226	0.5794819201376252	0.5937709952376772	0.6344198143263685	0.5372956106127985	0.8297380351970041	0.6700766958201885	0.6409885585304637	0.6103575368408972	0.0	0.5828913429931716	0.6378373429413127	0.5897255762897916	0.7564271624287299	0.775699039250346	0.6864381876067597
4R10	0.7630477949381864	0.8139426001150185	0.6959259733372347	0.6723097139006236	0.7584948919941813	0.7697923621359604	0.7545541072958342	0.6813333004570754	0.5923890337120966	0.6709984801760728	0.29907368179316485	0.6979896961430244	0.6738819854133149	0.8423448476678576	0.7349214122369891	0.6921123810235247	0.477355293200214	0.5828913429931716	0.0	0.7455144870631709	0.6804329336449165	0.7749414185288906	0.7924484869828061	0.7644963813484222
5A0	0.7411556560972506	0.7152548075062299	0.682707445786601	0.7187077152604355	0.652013732701398	0.6892720628938925	0.6288263451747378	0.5956529952642396	0.6847061576388437	0.626034674463617	0.730969593206065	0.5564426774922165	0.5714602992129615	0.8005495051540739	0.6772737808503566	0.6739284232796847	0.6490130134132194	0.6378373429413127	0.7455144870631709	0.0	0.6016250857540327	0.7748074505664495	0.7659143017740333	0.6956894163591191
6A6	0.613883592401257	0.7308563207711369	0.5812944660114234	0.5974623567536692	0.6880460280801469	0.5931523865546351	0.6487080657275311	0.6103069971648044	0.624233084415295	0.6441481933667966	0.6795687480521923	0.5244135342982232	0.25947908120630186	0.7578112124555313	0.5816549558009259	0.5785981366565031	0.6202017206057777	0.5897255762897916	0.6804329336449165	0.6016250857540327	0.0	0.7258746614364433	0.7664959895294441	0.7181756554664759
7A15	0.7455542396651442	0.6485742379547691	0.7334010481820933	0.6907755837594373	0.7537366737267482	0.7413412869002399	0.8073353003497341	0.7440436693250536	0.7734915845910623	0.7372427025370178	0.7125779054997662	0.712764113886678	0.6797870539545036	0.5027320679766286	0.7063569845192607	0.70539722067726	0.6770635063082853	0.7564271624287299	0.7749414185288906	0.7748074505664495	0.7258746614364433	0.0	0.5826080814656948	0.6995631108493386
8A0G	0.7083465533688097	0.5408050090422831	0.7403656172508174	0.709599667299489	0.750327002017672	0.7428351216904728	0.7925416430800989	0.7302863893904411	0.785989547653308	0.7561015785274067	0.788236303880582	0.7034048616262722	0.7503939830015474	0.6397363227023073	0.7148574929542949	0.7130433593723299	0.7321589011028768	0.775699039250346	0.7924484869828061	0.7659143017740333	0.7664959895294441	0.5826080814656948	0.0	0.7141217603375215
9A3G	0.6358500536260524	0.6066862858989542	0.6169818804817899	0.6577342551617822	0.32441419781576786	0.6003742917204278	0.69544555223649	0.6497339153927626	0.7446490387501419	0.6687944611250944	0.733963430806446	0.6398698794060924	0.6759889792726814	0.7482196227970731	0.6516419917125768	0.6209949902005436	0.639540995094604	0.6864381876067597	0.7644963813484222	0.6956894163591191	0.7181756554664759	0.6995631108493386	0.7141217603375215	0.0
