Sample	10A7G	11C0	12C3	13C7	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
20R10	0.746609023581173	0.7907052391093394	0.6497956333796197	0.6100991642509461	0.7081567563157446	0.7219912931799171	0.7569240817909452	0.6780625827272856	0.6278073983202789	0.68859653440169	0.0	0.6776524689513891	0.6599577717261879	0.7814267527132445	0.6617127454946213	0.6301743297865856	0.4681017463560287	0.6116919333172735	0.3401251035463404	0.7075481463092386	0.6617526030390534	0.7621290644456776	0.8013047347684551	0.6816296616380496
21A0	0.6677754752316898	0.6699099635700563	0.5868932577054088	0.6120486189307454	0.6197361356551221	0.6501603209730739	0.63767687987995	0.5864602347897437	0.6336143203097279	0.6021112246344117	0.6776524689513891	0.0	0.468889927022969	0.6910196718833688	0.6083613242932332	0.5531463632865004	0.6194542158032573	0.6550028561025389	0.7154461920736574	0.5611811827347234	0.5350009725908256	0.7075880540655257	0.6691023864688199	0.6491115645701654
22A6	0.6186851329254704	0.6799669694855368	0.582980970364884	0.6282174471403018	0.6691406179115852	0.5926771855408208	0.6296935361593297	0.5838941540949124	0.5836087368560834	0.6245536170647764	0.6599577717261879	0.468889927022969	0.0	0.6960345928946982	0.5872788865286235	0.544139778490282	0.6259840464861388	0.5561191992912055	0.7005662425059105	0.6032336114121529	0.2620487177410055	0.6835940309001857	0.7302626800778477	0.7033668551540571
23A15	0.782265679645605	0.6574746184442334	0.7629130671977372	0.7070958584858548	0.7625289200192711	0.7606033925157216	0.8478859816057911	0.818338152501675	0.8294138178289615	0.8056615040042315	0.7814267527132445	0.6910196718833688	0.6960345928946982	0.0	0.735942080023201	0.715874452094328	0.7105336914445689	0.8032550685578115	0.8308286461444818	0.7818860894330322	0.739520690054661	0.4184339387862894	0.5906623342442571	0.7464042380297539
253C	0.5612964673285614	0.6913065427495727	0.19298073525044704	0.39461511040281827	0.6479492580027973	0.5700088447742125	0.7248312057058425	0.6865312614743783	0.6692013660021446	0.7296032721693688	0.6617127454946213	0.6083613242932332	0.5872788865286235	0.735942080023201	0.0	0.3723625599795716	0.6541749511785778	0.6547006685861297	0.7434340159761724	0.7169483716287123	0.5807010190340031	0.7256038241518821	0.7017565396683338	0.654398025892409
267C	0.5780174704781272	0.6675756578037938	0.40814904142660924	0.1951960132996229	0.6534314231734208	0.4850534268132897	0.7217168847846328	0.6663046167911482	0.6802958586340003	0.6878453062042814	0.6301743297865856	0.5531463632865004	0.544139778490282	0.715874452094328	0.3723625599795716	0.0	0.6246771225112362	0.6516781600942534	0.7010579766091297	0.6760676271344758	0.5541176495742943	0.7007463818598593	0.6864113058630034	0.6317639690789983
2R3	0.7301948978411985	0.692862708549777	0.6423162084080388	0.6157626907340737	0.6641202887887238	0.7104937405354005	0.6854899614646933	0.6026658452070213	0.6536683838205826	0.6164922098441602	0.4681017463560287	0.6194542158032573	0.6259840464861388	0.7105336914445689	0.6541749511785778	0.6246771225112362	0.0	0.6563875116399893	0.5042905359591365	0.6603408150052174	0.6469785603046577	0.6678890856515208	0.7139669802555969	0.6341031946800331
3R8	0.673799990351681	0.709620823889264	0.6284587802371105	0.7138475795602333	0.650636240106854	0.6223723355163033	0.5685463942905411	0.5413543123226674	0.31050226582673096	0.622600505543144	0.6116919333172735	0.6550028561025389	0.5561191992912055	0.8032550685578115	0.6547006685861297	0.6516781600942534	0.6563875116399893	0.0	0.6359227893821288	0.6757591918249211	0.5631379216914869	0.7837538918253565	0.7899999650983005	0.6644062277365358
4R10	0.7916900323311564	0.8224226417292232	0.7122549359061263	0.6953421827025206	0.7691846131771518	0.7839529301959917	0.7806096114228196	0.7225013805347565	0.6449393809931045	0.6954601131503434	0.3401251035463404	0.7154461920736574	0.7005662425059105	0.8308286461444818	0.7434340159761724	0.7010579766091297	0.5042905359591365	0.6359227893821288	0.0	0.7568930961894795	0.7033004472532628	0.823316112756671	0.8415221929087062	0.7425272127344802
5A0	0.7587590816890246	0.7217540942964228	0.7169578827639169	0.7444509203064731	0.6542070760350146	0.7330898600028347	0.6470164035669094	0.6199368173495688	0.6948084609030019	0.6251315414757312	0.7075481463092386	0.5611811827347234	0.6032336114121529	0.7818860894330322	0.7169483716287123	0.6760676271344758	0.6603408150052174	0.6757591918249211	0.7568930961894795	0.0	0.6275223559355325	0.7815897230359851	0.7645568443318379	0.6716946292758268
6A6	0.6205164956157883	0.7124881921579549	0.5800929435288144	0.6287513325714988	0.6639204029288148	0.6254253200145042	0.6380136323578691	0.5615864650364144	0.6133346632786546	0.6556402612072176	0.6617526030390534	0.5350009725908256	0.2620487177410055	0.739520690054661	0.5807010190340031	0.5541176495742943	0.6469785603046577	0.5631379216914869	0.7033004472532628	0.6275223559355325	0.0	0.7229928963125918	0.7276844360664567	0.6899071224691147
7A15	0.7473093076689997	0.6165953992478724	0.7515258355241667	0.6877180523022982	0.7532976618189053	0.7510142557465784	0.8092630725771598	0.7739634395116526	0.8021867117900487	0.7638852683128735	0.7621290644456776	0.7075880540655257	0.6835940309001857	0.4184339387862894	0.7256038241518821	0.7007463818598593	0.6678890856515208	0.7837538918253565	0.823316112756671	0.7815897230359851	0.7229928963125918	0.0	0.5461085503826387	0.7190169985149729
8A0G	0.6867467419782912	0.5061568690125879	0.7349869094533849	0.6839771055974723	0.7415761827164814	0.7212851241150182	0.7840227513522555	0.7434964780544475	0.8025233942739728	0.7509324423868193	0.8013047347684551	0.6691023864688199	0.7302626800778477	0.5906623342442571	0.7017565396683338	0.6864113058630034	0.7139669802555969	0.7899999650983005	0.8415221929087062	0.7645568443318379	0.7276844360664567	0.5461085503826387	0.0	0.7138345673625284
9A3G	0.6507480596549469	0.6312755198904733	0.6334427102934145	0.654913489120806	0.2605005964605076	0.6037965101476684	0.7039601992262812	0.6411346391006456	0.7298077335429918	0.6466351115761668	0.6816296616380496	0.6491115645701654	0.7033668551540571	0.7464042380297539	0.654398025892409	0.6317639690789983	0.6341031946800331	0.6644062277365358	0.7425272127344802	0.6716946292758268	0.6899071224691147	0.7190169985149729	0.7138345673625284	0.0
