Sample	10A7G	11C0	12C3	13C7	140G	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	240C	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
1R0	0.8673698248166332	0.637252827291607	0.6869603478837212	0.8294487948854785	0.7439520250186504	0.774195576053451	0.8835155155773895	0.5762166424297646	0.5926021277101371	0.7005054749204724	0.0	0.6909555849001235	0.6281290525958777	0.6479316075654388	0.6930241367613418	0.6262860834796173	0.6849547103468079	0.7802449422688778	0.6189315016427184	0.6661177645903187	0.704570226949216	0.5538714594510802	0.6719441068673612	0.6566831483161985	0.7097460344314768	0.7607787835603379
20R10	0.9016176359942817	0.7817134763404591	0.8381265632307784	0.8547027947839921	0.8473980887149057	0.7996532611044388	0.9251952888589166	0.8142133615859888	0.7644630599957836	0.749173166320598	0.6909555849001235	0.0	0.6731881544070349	0.6171113309935952	0.7603511183967004	0.7502583518049769	0.8205962410379504	0.8237334966340135	0.62306518192561	0.7038126691047627	0.22490931306673367	0.6320745307791819	0.601121811193216	0.7453919688600128	0.8224626208961118	0.8031054436176761
21A0	0.923785131888628	0.7691520411592591	0.8327269760867542	0.8996038875563539	0.8446769599804766	0.8455864117384466	0.9353413994741482	0.7711944370603588	0.7776748963590813	0.8176545195931073	0.6281290525958777	0.6731881544070349	0.0	0.6412063451927167	0.6666343082055176	0.7550671371627806	0.8241079392904308	0.869523335887131	0.5576257675214872	0.7912180037306815	0.6622327305319898	0.39993761516318527	0.5950180433039295	0.7046159987297984	0.8399721970950653	0.8394302311119565
22A6	0.8765193373407035	0.7668972509446749	0.8648251468513801	0.836005960484886	0.869897877944574	0.8379538832879625	0.9062092817596396	0.8267617420446843	0.7901603321648216	0.7683655621933055	0.6479316075654388	0.6171113309935952	0.6412063451927167	0.0	0.7208317563882899	0.7637595540216019	0.8529023534011262	0.8104550473318726	0.6483671319275505	0.7005707142701406	0.6097362204876612	0.596220777985018	0.27925611945004936	0.706766500046476	0.8316855652053623	0.8373126046783061
23A15	0.912325367418121	0.7821204026164849	0.8429787820377006	0.8812922915834452	0.8490331677429435	0.820482265936386	0.9244643699499367	0.7972390702950466	0.7969241908292674	0.80834864089193	0.6930241367613418	0.7603511183967004	0.6666343082055176	0.7208317563882899	0.0	0.7507637086507846	0.8056285194815522	0.8482572579147937	0.7472827985428415	0.7582642661512	0.7423763119556432	0.662232276068902	0.6919994775751435	0.43470190922370333	0.8361718508820543	0.8227373156819994
240C	0.8280323267305991	0.5632867017774855	0.5917933608094109	0.772350395123407	0.6462002347674667	0.7019794470940319	0.8518548509436203	0.5277557378600489	0.5784088907585155	0.5676435669446573	0.6262860834796173	0.7502583518049769	0.7550671371627806	0.7637595540216019	0.7507637086507846	0.0	0.645501852707138	0.7281127106838491	0.7457276981460954	0.5463921945621152	0.7654736700143416	0.7037132091319512	0.7760704729459469	0.7071431043433115	0.6359288215262121	0.6955268705518974
253C	0.8471740806126763	0.6811789642691152	0.3682704441143956	0.6602597680260835	0.6391154332253554	0.5859083724063415	0.8473342246554494	0.574856016123698	0.6201578961739039	0.6462698139740284	0.6849547103468079	0.8205962410379504	0.8241079392904308	0.8529023534011262	0.8056285194815522	0.645501852707138	0.0	0.6439255955368794	0.7902893227933346	0.7201036465477051	0.8401577310070913	0.789111629634044	0.8763227782743992	0.7823586432021948	0.6204589988299479	0.5901822861575349
267C	0.8046981817281935	0.7397826551779757	0.6564152142819305	0.3380282794080763	0.7834684782058771	0.5935136549995345	0.8117687748016694	0.7156624775280066	0.7444651614933803	0.6936463959510409	0.7802449422688778	0.8237334966340135	0.869523335887131	0.8104550473318726	0.8482572579147937	0.7281127106838491	0.6439255955368794	0.0	0.856273832912742	0.7127910913881776	0.8414245960663744	0.8362037499789422	0.8363253404319108	0.8092694231677573	0.6924656796631812	0.5976102569983374
2R3	0.9127501369581288	0.7662344126627685	0.8053264716027029	0.8928250508405106	0.8359314021409198	0.834709841974309	0.9257269893828507	0.7527540770676462	0.7364955788713876	0.7892693183215138	0.6189315016427184	0.62306518192561	0.5576257675214872	0.6483671319275505	0.7472827985428415	0.7457276981460954	0.7902893227933346	0.856273832912742	0.0	0.7555729962460683	0.5652246644297628	0.5588901307762755	0.6095810712522615	0.7393907950344618	0.8255974278697894	0.8325875951107538
3R8	0.8183356551667622	0.6918917934901335	0.7426244369988411	0.7549621909015016	0.749918761914195	0.7235908234436278	0.8607168259590204	0.7040326350921392	0.6617534109865811	0.38227145662949796	0.6661177645903187	0.7038126691047627	0.7912180037306815	0.7005707142701406	0.7582642661512	0.5463921945621152	0.7201036465477051	0.7127910913881776	0.7555729962460683	0.0	0.7068507598725953	0.7202183480555826	0.7073452194429254	0.6567852389704211	0.6991825370143007	0.7209405832948275
4R10	0.9074440984998585	0.7883888302136047	0.8525051789624364	0.8689922042596969	0.862820577317661	0.8173762004815616	0.928908139109833	0.8300866987154389	0.7811505656363753	0.773582215836822	0.704570226949216	0.22490931306673367	0.6622327305319898	0.6097362204876612	0.7423763119556432	0.7654736700143416	0.8401577310070913	0.8414245960663744	0.5652246644297628	0.7068507598725953	0.0	0.6208330228434649	0.5796532838100573	0.7317782143827677	0.83999047274358	0.8208163406059482
5A0	0.9070819965135611	0.7047839567877225	0.7927119256003884	0.8749596314181268	0.8059151564360825	0.8146536578139382	0.9186682193706299	0.7279956720149794	0.7002798252477707	0.7599793664234765	0.5538714594510802	0.6320745307791819	0.39993761516318527	0.596220777985018	0.662232276068902	0.7037132091319512	0.789111629634044	0.8362037499789422	0.5588901307762755	0.7202183480555826	0.6208330228434649	0.0	0.5710513864807347	0.6543559890040889	0.8029840762098234	0.8137353974411098
6A6	0.8982133435040283	0.7836304137123641	0.8864260312271651	0.8608337228572642	0.8858276819766386	0.8600238886424468	0.923148472661966	0.8352430423935366	0.8139602472372581	0.7847080563488447	0.6719441068673612	0.601121811193216	0.5950180433039295	0.27925611945004936	0.6919994775751435	0.7760704729459469	0.8763227782743992	0.8363253404319108	0.6095810712522615	0.7073452194429254	0.5796532838100573	0.5710513864807347	0.0	0.6844389066373436	0.8606943253774068	0.858427602059987
7A15	0.8967014355859857	0.750162899293919	0.8283586026346117	0.8552371126711951	0.8322983979831907	0.7929906529632329	0.9127856610947084	0.7650522958815296	0.7708901766222094	0.7280807382598807	0.6566831483161985	0.7453919688600128	0.7046159987297984	0.706766500046476	0.43470190922370333	0.7071431043433115	0.7823586432021948	0.8092694231677573	0.7393907950344618	0.6567852389704211	0.7317782143827677	0.6543559890040889	0.6844389066373436	0.0	0.8036081182660985	0.7939146016530704
8A0G	0.8415134586373967	0.662459780960926	0.5895144155378462	0.6774309838341585	0.5650663173664436	0.7168598024737347	0.8816694069965493	0.6497558877298635	0.648403212494049	0.6676275299383804	0.7097460344314768	0.8224626208961118	0.8399721970950653	0.8316855652053623	0.8361718508820543	0.6359288215262121	0.6204589988299479	0.6924656796631812	0.8255974278697894	0.6991825370143007	0.83999047274358	0.8029840762098234	0.8606943253774068	0.8036081182660985	0.0	0.7031098640478336
9A3G	0.7805944961930452	0.7191411083061873	0.6497146584053483	0.5846623965611111	0.7600572313312675	0.153174396526756	0.8284225075216962	0.6652836873171959	0.7124220131375221	0.6628466837013606	0.7607787835603379	0.8031054436176761	0.8394302311119565	0.8373126046783061	0.8227373156819994	0.6955268705518974	0.5901822861575349	0.5976102569983374	0.8325875951107538	0.7209405832948275	0.8208163406059482	0.8137353974411098	0.858427602059987	0.7939146016530704	0.7031098640478336	0.0
