Sample	10A7G	11C0	12C3	13C7	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
20R10	0.9006578947368421	0.9570647258946643	0.8753209782744593	0.8564304065286383	0.9186754784049144	0.9170339374075194	0.7956691186813732	0.7356502492016708	0.7731928907129145	0.7001668388019385	0.0	0.7833345900318672	0.6321633595272085	0.9949512680341709	0.8732706486620827	0.8792126595719391	0.7195940247033906	0.8212245357228709	0.1988072166390282	0.6992708656531182	0.6786836700577924	0.9905522288755821	0.9919807923169268	0.90035557760688
21A0	0.7977162299435789	0.9356988303949451	0.7527534776678411	0.8904453272005017	0.585157452005158	0.6935406386742389	0.5501705772581685	0.646406011133866	0.7649140565538397	0.7494349303554896	0.7833345900318672	0.0	0.8964545080013895	0.9651077074289458	0.7313192902019909	0.8910116320056397	0.7094732641313825	0.8180398796087284	0.7512481306798574	0.33712336554860717	0.8838187830863037	0.9591555643327713	0.842890167767814	0.7106326795715411
22A6	0.8954914825200471	0.9785076667751024	0.9378847202503475	0.8941609373486976	0.9671607793818241	0.893466880969057	0.9273171656728683	0.9165930500723136	0.8820450800847832	0.9806654754768155	0.6321633595272085	0.8964545080013895	0.0	0.5587800755321096	0.9403714202453175	0.9215219784429399	0.9574472156967815	0.9100137088081709	0.5757368375356864	0.9304803562671211	0.2504817801716357	0.4098738910768986	0.9455381189017361	0.9637647522189869
23A15	0.9667220295517327	0.974623239769895	0.9830668098171065	0.9923135918915598	0.9657943086470971	0.9703373597591963	0.9636263164738006	0.9660289377524685	0.9815291851875929	0.9504384799362211	0.9949512680341709	0.9651077074289458	0.5587800755321096	0.0	0.9850765913071651	0.986791277258567	0.9605725881240301	0.9863448793297487	0.9944186501148526	0.9575086150428617	0.7619470847990419	0.3222129612591061	0.9174441351290347	0.9637788184438041
253C	0.4806467891385808	0.8335763180183557	0.1282063621925983	0.5577898445770505	0.5196384794251023	0.5223056305382539	0.8614161416141615	0.8441225601244823	0.8470792955506885	0.9329030723016982	0.8732706486620827	0.7313192902019909	0.9403714202453175	0.9850765913071651	0.0	0.6232175745723129	0.938946681732931	0.8624514769852984	0.8785951362334204	0.7020286120598496	0.9333945742167927	0.9755326976066477	0.9165405587182628	0.5678041239457112
267C	0.7142205496635876	0.9211706837186424	0.6392035123508804	0.34813167581193527	0.759769635523614	0.7529003182913407	0.8917288360502704	0.9037020769504938	0.847124716483313	0.9496464516129032	0.8792126595719391	0.8910116320056397	0.9215219784429399	0.986791277258567	0.6232175745723129	0.0	0.9412065262574477	0.8389681343903572	0.8715784252489253	0.9111186573966507	0.9136190954685283	0.9815960220726457	0.961139506249391	0.7445133202384293
2R3	0.9012152021302348	0.9393371389622561	0.9339438522744332	0.9440100882723833	0.8162881128720967	0.8970054880541326	0.6377397210518669	0.2567080295333381	0.8393277097275064	0.32620438333505636	0.7195940247033906	0.7094732641313825	0.9574472156967815	0.9605725881240301	0.938946681732931	0.9412065262574477	0.0	0.8523688881995071	0.7381988654799333	0.48710651329387195	0.9482652192422307	0.9507771694669939	0.8204175588865097	0.7923393672537509
3R8	0.8754989213228239	0.921365886972853	0.8684814518281292	0.8520691592285126	0.9190311166993126	0.8922857102437506	0.8448036449350919	0.8182880011589584	0.25888846611882255	0.8507251141552511	0.8212245357228709	0.8180398796087284	0.9100137088081709	0.9863448793297487	0.8624514769852984	0.8389681343903572	0.8523688881995071	0.0	0.7664194553061339	0.7992559711014863	0.8937580501920284	0.9765985661303247	0.9745422036978929	0.896237894701426
4R10	0.9035077737894508	0.9501025742836344	0.8806116560877092	0.8442039840151927	0.9266766081337432	0.921954730421784	0.7700533209690507	0.7553962575308215	0.7238111796922542	0.7182113591410003	0.1988072166390282	0.7512481306798574	0.5757368375356864	0.9944186501148526	0.8785951362334204	0.8715784252489253	0.7381988654799333	0.7664194553061339	0.0	0.7151747526425583	0.6198772837584139	0.9892794882705797	0.9927531222636988	0.9060847139047952
5A0	0.7886765959580764	0.9230681138581736	0.731289862182775	0.9270756877909411	0.6150416785584238	0.6824077481666323	0.48158749225773756	0.5004424950677989	0.7724401985717101	0.4817514292681605	0.6992708656531182	0.33712336554860717	0.9304803562671211	0.9575086150428617	0.7020286120598496	0.9111186573966507	0.48710651329387195	0.7992559711014863	0.7151747526425583	0.0	0.9195375594645425	0.9465638795545892	0.808182121785595	0.6755304520742104
6A6	0.8695755229423036	0.9696773066460356	0.9313077504850219	0.8832234368252767	0.9603819309810004	0.8702592159779029	0.9168231474372612	0.9042596245191468	0.8658310979557857	0.9714316043681913	0.6786836700577924	0.8838187830863037	0.2504817801716357	0.7619470847990419	0.9333945742167927	0.9136190954685283	0.9482652192422307	0.8937580501920284	0.6198772837584139	0.9195375594645425	0.0	0.6700932406953019	0.938147714463936	0.957904486372293
7A15	0.961578807824874	0.9591668825133698	0.9739990616202691	0.9883451068082871	0.9587389318143364	0.9669073955571807	0.9566889596376146	0.9602778412377448	0.9726723999786336	0.9333037562851227	0.9905522288755821	0.9591555643327713	0.4098738910768986	0.3222129612591061	0.9755326976066477	0.9815960220726457	0.9507771694669939	0.9765985661303247	0.9892794882705797	0.9465638795545892	0.6700932406953019	0.0	0.8936181283658975	0.9554825582820582
8A0G	0.8734284068564164	0.37197466636507576	0.9091350236564357	0.9795300098056912	0.7264912280701754	0.8333659560838464	0.8211014719146048	0.8512535367414465	0.9698465829846583	0.8509150702511932	0.9919807923169268	0.842890167767814	0.9455381189017361	0.9174441351290347	0.9165405587182628	0.961139506249391	0.8204175588865097	0.9745422036978929	0.9927531222636988	0.808182121785595	0.938147714463936	0.8936181283658975	0.0	0.7878070992662067
9A3G	0.5565527579075195	0.8779333254241309	0.45120301934266394	0.4985051794017919	0.35148911584911285	0.6761963315913516	0.6833216045038705	0.8062565060503697	0.8946660490637972	0.8352009054895303	0.90035557760688	0.7106326795715411	0.9637647522189869	0.9637788184438041	0.5678041239457112	0.7445133202384293	0.7923393672537509	0.896237894701426	0.9060847139047952	0.6755304520742104	0.957904486372293	0.9554825582820582	0.7878070992662067	0.0
